Club Rank,Club Name,Club Points
913,Rubio Ñú,1359
914,Eastern Suburbs,1359
915,Excelsior,1358
916,AL Gharafa,1358
917,Huddersfield Town,1358
918,Quilmes,1358
919,Al-Ittihad Al-Sakandary,1358
920,Sunshine Stars,1358
921,Jaguares Chiapas,1358
922,FK Haugesund,1358
923,FC Nizhny Novgorod,1357
924,CD Plaza Amador,1357
925,Wisła Płock,1357
926,Changchun Yatai,1357
927,Giresunspor,1357
928,CA Bizertin,1357
929,FC Skonto Riga,1357
930,Sportivo Luqueño,1357
931,Sanga Balende,1356
932,ASO Chlef,1356
933,Gostaresh Foolad,1356
934,Eastern Stars,1356
935,Alianza Atlético,1356
936,Belenenses,1356
937,Elazığspor,1356
938,Kwara United,1355
939,FK Riteriai,1355
940,Sportivo Ameliano,1355
941,Melipilla,1355
942,Adelaide United,1355
943,Liga de Loja,1355
944,Feutcheu FC,1355
945,AC Ajaccio (FRA),1355
946,Haka,1355
947,Austin FC,1355
948,Valmiera FK,1355
949,Naft Tehran,1354
950,Kryvbas,1354
951,Al Shabab,1354
952,AL Ettifaq FC,1354
953,Arema,1354
954,Power Dynamos,1354
955,Silkeborg,1354
956,AaB,1353
957,Monomatapa United,1353
958,Port Talbot,1353
959,León de Huánuco,1353
960,Medeama SC,1353
961,Alianza Petrolera,1353
962,Ajax,1352
963,Tukoko University,1352
964,Novi Pazar,1352
965,Zanaco,1352
966,Gold Coast United,1352
967,Sabah FK,1352
968,Al-Arabi Doha,1352
969,Sporting Gagnoa,1351
970,PAS Giannina,1351
971,Sion,1351
972,Academia F. Amadou Diallo,1351
973,US Biskra,1351
974,Hapoel Tel Aviv,1351
975,Bendel Insurance,1351
976,Nasarawa United,1350
977,El Tanque Sisley,1350
978,Grasshopper Club Zürich,1350
979,Difaâ El Jadida,1350
980,Jagiellonia Białystok,1350
981,Al Nasr,1350
982,Imbabura,1350
983,Independiente de La Chorrera,1350
984,Central Español,1350
985,Uniao da Madeira,1350
986,Plaza Colonia,1350
987,Masvingo United,1350
988,FC Emmen,1350
989,FK Liepājas Metalurgs,1350
990,Chorrillo,1350
991,Cardiff Met University,1350
992,CD FAS,1349
993,Bengaluru FC,1349
994,MC El Eulma,1349
995,Benfica Luanda,1349
996,Deportivo Lara,1349
997,Waterford FC,1348
998,St. Mirren,1348
999,FC U Craiova 1948,1348
1000,Roda JC Kerkrade,1348
1001,Jorge Wilstermann,1348
1002,FC Groningen,1347
1003,Tromsø IL,1347
1004,Vardar Skopje,1347
1005,Deportiva San Carlos,1347
1006,Olimpo,1347
1007,Giwa FC,1347
1008,Remo Stars,1346
1009,Eskişehirspor,1346
1010,Gornik Zabrze,1346
1011,Tiko United,1346
